Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Augment),Attachment,Custom field (1. Reason for Change),Custom field (2. Parties Impacted),Custom field (3. Work Instructions Affected),Custom field (4. Training Plan Required),Custom field (Acceptance Criteria),Custom field (Acceptance Test(s)),Custom field (Additional Guidance),Custom field (Affected services),Custom field (Approvals),Custom field (Attachment count),Custom field (Begin Date),Custom field (Bug Description (with template)),Custom field (Bugs of Epic count),Custom field (Bugs of Epic in Done status category count),Custom field (Bugs of Epic in In Progress status category count),Custom field (Bugs of Epic in To Do status category count),Custom field (CVSS),Custom field (CWE),Custom field (Category),Custom field (Category - Root Cause),Custom field (Change Type),Custom field (Checklist Completed),Custom field (Checklist Content YAML),Custom field (Checklist Progress),Custom field (Checklist Progress %),Custom field (Checklist Text),Custom field (Checklist Text (view-only)),Custom field (Children of Epic count),Custom field (Children of Epic in Done status category count),Custom field (Children of Epic in In Progress status category count),Custom field (Children of Epic in To Do status category count),Custom field (Cloud Platform),Custom field (Cloud Project),Custom field (Comment count),Custom field (Date Implemented),Custom field (Definition of Done),Custom field (Definition of Done),Custom field (Description (with template)),Custom field (Development),Custom field (DoD),Custom field (Domain),Custom field (End Date),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (External issue ID),Custom field (Goals),Custom field (Inherent impact),Custom field (Inherent probability),Custom field (Inherent risk),Custom field (Issue color),Custom field (Issue link count),Custom field (Link),Custom field (Link to Aha),Custom field (Locked forms),Custom field (Neurio Project),Custom field (Neurio Team),Custom field (Observed Result),Custom field (Open forms),Custom field (PWRfleet Bug Template),Custom field (Parent Link),Custom field (Persona),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Remaining Story Points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Repository URL),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Residual impact),Custom field (Residual probability),Custom field (Residual risk),Custom field (Responders),Custom field (Revision),Custom field (Risk updated),Custom field (Risk updated by),Satisfaction rating,Custom field (Satisfaction date),Custom field (Security Vulnerability Type),Custom field (Sentiment),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Steps To Reproduce),Custom field (Stories of Epic count),Custom field (Stories of Epic in Done status category count),Custom field (Stories of Epic in In Progress status category count),Custom field (Stories of Epic in To Do status category count),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Subtask count),Custom field (Subtype),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Triaged),Custom field (Tshirt Size),Custom field (Updated by users count),Custom field (User Story),Custom field (Vulnerability),Custom field (WizID),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
Support In Build of second unit ,CTET-4589,81340,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Critical,,Jens Clausen,712020:5189a75b-0b51-4fee-bf59-340c18b71135,Jens Clausen,712020:5189a75b-0b51-4fee-bf59-340c18b71135,Jens Clausen,712020:5189a75b-0b51-4fee-bf59-340c18b71135,16/Aug/24 8:29 AM,21/Aug/24 9:15 AM,21/Aug/24 9:16 AM,,,0,,,,,Jens Clausen,,712020:5189a75b-0b51-4fee-bf59-340c18b71135,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4a926352,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3497,"24-Q2-KR3.5: Design, build & commission thermal burn in tester (inverter)",,,,,,,,,,,,,,,,,,,,,,,2|i071zb:g,,,,,1.0,,,,,,,,,,,,,,,,CTET 81424,CTET 82124,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,79395,"24-Q2-KR3.5: Design, build & commission thermal burn in tester (inverter)",In Progress,16/Aug/24 8:45 AM
Support NPI1b,CTET-4587,81338,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Ian Gills,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,Ian Gills,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,Ian Gills,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,16/Aug/24 6:17 AM,21/Aug/24 9:05 AM,21/Aug/24 9:16 AM,21/Aug/24 9:05 AM,,0,,,,,Ian Gills,,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@628cfc5b,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i077vk:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_442009078_*|*_10000_*:*_1_*:*_44644_*|*_10001_*:*_1_*:*_0,,,,,,Done,21/Aug/24 9:05 AM
Support EOL Testers,CTET-4586,81337,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Ian Gills,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,Ian Gills,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,Ian Gills,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,16/Aug/24 6:17 AM,21/Aug/24 9:05 AM,21/Aug/24 9:16 AM,21/Aug/24 9:05 AM,,0,,,,,Ian Gills,,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1a630483,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i077vj:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_442010194_*|*_10000_*:*_1_*:*_50612_*|*_10001_*:*_1_*:*_0,,,,,,Done,21/Aug/24 9:05 AM
Support Voltron,CTET-4585,81336,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Ian Gills,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,Ian Gills,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,Ian Gills,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,16/Aug/24 6:17 AM,21/Aug/24 9:05 AM,21/Aug/24 9:16 AM,21/Aug/24 9:05 AM,,0,,,,,Ian Gills,,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3b21b5bc,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i077vh:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_442010261_*|*_10000_*:*_1_*:*_56185_*|*_10001_*:*_1_*:*_0,,,,,,Done,21/Aug/24 9:05 AM
convert relay serial commands to can uds,CTET-4584,81331,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,15/Aug/24 3:26 PM,15/Aug/24 3:27 PM,21/Aug/24 9:16 AM,15/Aug/24 3:27 PM,,0,,,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@56a2e5e7,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2966,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,,,,,,,,,,,,,,,,,,,,,,,2|i073w7:i,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_18231_*|*_10001_*:*_1_*:*_0,,,,78150,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,Done,15/Aug/24 3:27 PM
implement manufacturing mode,CTET-4583,81330,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,15/Aug/24 3:26 PM,15/Aug/24 3:27 PM,21/Aug/24 9:16 AM,15/Aug/24 3:27 PM,,0,,,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@74fcb150,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2966,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,,,,,,,,,,,,,,,,,,,,,,,2|i073w8:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_33438_*|*_10001_*:*_1_*:*_0,,,,78150,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,Done,15/Aug/24 3:27 PM
Meet with Alex about possible bmu and inverter bed of nails harness.,CTET-4581,81314,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,15/Aug/24 7:32 AM,16/Aug/24 8:24 AM,21/Aug/24 9:16 AM,16/Aug/24 8:24 AM,,0,,,,,phill.McC,,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5d260906,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3004,"24-Q2-KR4.3: BMU EOL coverage updated based on test spec, engineering feedback, and failure Pareto",,,,,,,,,,,,,,,,,,,,,,,2|i077vd:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_89487984_*|*_10001_*:*_1_*:*_0,,,,78305,"24-Q2-KR4.3: BMU EOL coverage updated based on test spec, engineering feedback, and failure Pareto",Done,16/Aug/24 8:24 AM
build NPI 1B bed of nails harness for SDS.,CTET-4580,81313,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,15/Aug/24 7:30 AM,21/Aug/24 9:09 AM,21/Aug/24 9:16 AM,21/Aug/24 9:09 AM,,0,,,,,phill.McC,,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@63054a8b,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3063,24-Q2-KR2.4: SDS EOL Interface Fixture updated and improved,,,,,,,,,,,,,,,,,,,,,,,2|i077v5:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_434751309_*|*_10000_*:*_1_*:*_89559717_*|*_10001_*:*_1_*:*_0,,,,78512,24-Q2-KR2.4: SDS EOL Interface Fixture updated and improved,Done,21/Aug/24 9:09 AM
Manta testing support,CTET-4579,81312,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,14/Aug/24 6:36 PM,21/Aug/24 9:15 AM,21/Aug/24 9:16 AM,,,0,,,,,Zeren Zhang,,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@72d0ab82,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i077ux:,,,,,,,,,,,,,,,,,,,,,CTET 81424,CTET 82124,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,To Do,14/Aug/24 6:36 PM
BMU firmware update to v0.4.0RC3 + flash dongle update + code update ,CTET-4578,81311,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,14/Aug/24 6:33 PM,21/Aug/24 9:15 AM,21/Aug/24 9:16 AM,,,0,,,,,Zeren Zhang,,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@23a31bc8,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3004,"24-Q2-KR4.3: BMU EOL coverage updated based on test spec, engineering feedback, and failure Pareto",,,,,,,,,,,,,,,,,,,,,,,2|i077mt:,,,,,,,,,,,,,,,,,,,,,CTET 81424,CTET 82124,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,78305,"24-Q2-KR4.3: BMU EOL coverage updated based on test spec, engineering feedback, and failure Pareto",To Do,14/Aug/24 6:33 PM
Implement GetCurrentMagnitude radian weco function in GRPC application,CTET-4577,81309,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Zuhair AlMassri,712020:f89e9180-5a0a-48ae-ab45-6916ec092589,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,14/Aug/24 3:53 PM,19/Aug/24 4:23 PM,21/Aug/24 9:16 AM,19/Aug/24 4:23 PM,,0,,,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@f7232fd,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3007,24-Q2-KR6.1: SDS cabinet-level calibration station deployed,,,,,,,,,,,,,,,,,,,,,,,2|i076lv:2,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_3905080_*|*_10000_*:*_1_*:*_429905839_*|*_10001_*:*_1_*:*_0,,,,78308,24-Q2-KR6.1: SDS cabinet-level calibration station deployed,Done,19/Aug/24 4:23 PM
Implement GetVoltageMagnitude radian weco function in GRPC application,CTET-4576,81308,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Zuhair AlMassri,712020:f89e9180-5a0a-48ae-ab45-6916ec092589,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,14/Aug/24 3:52 PM,19/Aug/24 4:23 PM,21/Aug/24 9:16 AM,19/Aug/24 4:23 PM,,0,,,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@38e13822,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3007,24-Q2-KR6.1: SDS cabinet-level calibration station deployed,,,,,,,,,,,,,,,,,,,,,,,2|i076lv:4,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_3905035_*|*_10000_*:*_1_*:*_429935997_*|*_10001_*:*_1_*:*_0,,,,78308,24-Q2-KR6.1: SDS cabinet-level calibration station deployed,Done,19/Aug/24 4:23 PM
Implement ToggleCurrent radian weco function in GRPC application,CTET-4575,81307,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Major,Done,Zuhair AlMassri,712020:f89e9180-5a0a-48ae-ab45-6916ec092589,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,14/Aug/24 3:51 PM,19/Aug/24 1:25 PM,21/Aug/24 9:16 AM,19/Aug/24 1:25 PM,,0,,,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@68394d20,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3007,24-Q2-KR6.1: SDS cabinet-level calibration station deployed,,,,,,,,,,,,,,,,,,,,,,,2|i076lv:i,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_423249929_*|*_10001_*:*_1_*:*_0,,,,78308,24-Q2-KR6.1: SDS cabinet-level calibration station deployed,Done,19/Aug/24 1:25 PM
Implement ToggleVoltage radian weco function in GRPC application,CTET-4574,81306,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Major,Done,Zuhair AlMassri,712020:f89e9180-5a0a-48ae-ab45-6916ec092589,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,14/Aug/24 3:50 PM,19/Aug/24 1:25 PM,21/Aug/24 9:16 AM,19/Aug/24 1:25 PM,,0,,,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@268f4d4a,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3007,24-Q2-KR6.1: SDS cabinet-level calibration station deployed,,,,,,,,,,,,,,,,,,,,,,,2|i076lw:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_423284929_*|*_10001_*:*_1_*:*_0,,,,78308,24-Q2-KR6.1: SDS cabinet-level calibration station deployed,Done,19/Aug/24 1:25 PM
Implement SetFrequency radian weco function in GRPC application,CTET-4573,81305,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Minor,Done,Zuhair AlMassri,712020:f89e9180-5a0a-48ae-ab45-6916ec092589,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,14/Aug/24 3:49 PM,16/Aug/24 10:23 PM,21/Aug/24 9:16 AM,16/Aug/24 10:23 PM,,0,,,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1bf08354,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3007,24-Q2-KR6.1: SDS cabinet-level calibration station deployed,,,,,,,,,,,,,,,,,,,,,,,2|i078b5:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_196408498_*|*_10001_*:*_1_*:*_0,,,,78308,24-Q2-KR6.1: SDS cabinet-level calibration station deployed,Done,16/Aug/24 10:23 PM
Implement EnergizeWeco radian weco function in GRPC application,CTET-4572,81304,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Major,Done,Zuhair AlMassri,712020:f89e9180-5a0a-48ae-ab45-6916ec092589,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,14/Aug/24 3:49 PM,19/Aug/24 12:40 PM,21/Aug/24 9:16 AM,19/Aug/24 12:38 PM,,0,,,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5fef3879,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3007,24-Q2-KR6.1: SDS cabinet-level calibration station deployed,,,,,,,,,,,,,,,,,,,,,,,2|i076lv:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_255118205_*|*_10000_*:*_1_*:*_165440778_*|*_10001_*:*_1_*:*_0,,,,78308,24-Q2-KR6.1: SDS cabinet-level calibration station deployed,Done,19/Aug/24 12:38 PM
Implement SetTargetCurrentAngle radian weco function in GRPC application,CTET-4571,81303,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Minor,Done,Zuhair AlMassri,712020:f89e9180-5a0a-48ae-ab45-6916ec092589,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,14/Aug/24 3:48 PM,16/Aug/24 10:23 PM,21/Aug/24 9:16 AM,16/Aug/24 10:23 PM,,0,,,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@34b8b42e,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3007,24-Q2-KR6.1: SDS cabinet-level calibration station deployed,,,,,,,,,,,,,,,,,,,,,,,2|i078ax:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_196473588_*|*_10001_*:*_1_*:*_0,,,,78308,24-Q2-KR6.1: SDS cabinet-level calibration station deployed,Done,16/Aug/24 10:23 PM
Implement SetTargetVoltageMagnitude radian weco function in GRPC application,CTET-4569,81301,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Major,Done,Zuhair AlMassri,712020:f89e9180-5a0a-48ae-ab45-6916ec092589,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,14/Aug/24 3:47 PM,16/Aug/24 10:21 PM,21/Aug/24 9:16 AM,16/Aug/24 10:21 PM,,0,,,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@529b11ac,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3007,24-Q2-KR6.1: SDS cabinet-level calibration station deployed,,,,,,,,,,,,,,,,,,,,,,,2|i076lx:i,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_30935465_*|*_10000_*:*_1_*:*_165469596_*|*_10001_*:*_1_*:*_0,,,,78308,24-Q2-KR6.1: SDS cabinet-level calibration station deployed,Done,16/Aug/24 10:21 PM
Implement SetTargetCurrentMagnitude radian weco function in GRPC application,CTET-4568,81300,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Major,Done,Zuhair AlMassri,712020:f89e9180-5a0a-48ae-ab45-6916ec092589,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,14/Aug/24 3:47 PM,16/Aug/24 10:21 PM,21/Aug/24 9:16 AM,16/Aug/24 10:21 PM,,0,,,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@243ef011,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3007,24-Q2-KR6.1: SDS cabinet-level calibration station deployed,,,,,,,,,,,,,,,,,,,,,,,2|i076ly:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_30934805_*|*_10000_*:*_1_*:*_165495848_*|*_10001_*:*_1_*:*_0,,,,78308,24-Q2-KR6.1: SDS cabinet-level calibration station deployed,Done,16/Aug/24 10:21 PM
