Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (CTET custom link),Outward issue link (CTET custom link),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Attachment,Attachment,Attachment,Custom field (1. Reason for Change),Custom field (2. Parties Impacted),Custom field (3. Work Instructions Affected),Custom field (4. Training Plan Required),Custom field (Acceptance Criteria),Custom field (Acceptance Test(s)),Custom field (Additional Guidance),Custom field (Affected services),Custom field (Approvals),Custom field (Attachment count),Custom field (Begin Date),Custom field (Bug Description (with template)),Custom field (Bugs of Epic count),Custom field (Bugs of Epic in Done status category count),Custom field (Bugs of Epic in In Progress status category count),Custom field (Bugs of Epic in To Do status category count),Custom field (CVSS),Custom field (CWE),Custom field (Category),Custom field (Category - Root Cause),Custom field (Change Type),Custom field (Checklist Completed),Custom field (Checklist Content YAML),Custom field (Checklist Progress),Custom field (Checklist Progress %),Custom field (Checklist Text),Custom field (Checklist Text (view-only)),Custom field (Children of Epic count),Custom field (Children of Epic in Done status category count),Custom field (Children of Epic in In Progress status category count),Custom field (Children of Epic in To Do status category count),Custom field (Cloud Platform),Custom field (Cloud Project),Custom field (Comment count),Custom field (Date Implemented),Custom field (Definition of Done),Custom field (Definition of Done),Custom field (Description (with template)),Custom field (Development),Custom field (DoD),Custom field (Domain),Custom field (End Date),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (External issue ID),Custom field (Issue color),Custom field (Issue link count),Custom field (Link),Custom field (Link to Aha),Custom field (Locked forms),Custom field (Neurio Project),Custom field (Neurio Team),Custom field (Observed Result),Custom field (Open forms),Custom field (PWRfleet Bug Template),Custom field (Parent Link),Custom field (Persona),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Remaining Story Points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Repository URL),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Custom field (Revision),Satisfaction rating,Custom field (Satisfaction date),Custom field (Security Vulnerability Type),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Steps To Reproduce),Custom field (Stories of Epic count),Custom field (Stories of Epic in Done status category count),Custom field (Stories of Epic in In Progress status category count),Custom field (Stories of Epic in To Do status category count),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Subtask count),Custom field (Subtype),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Triaged),Custom field (Tshirt Size),Custom field (Updated by users count),Custom field (User Story),Custom field (Vulnerability),Custom field (WizID),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
Asses Current State of System System  + Component Electrical Validation Testing of R2 system based on DVPR ( Monday) ,CTET-3640,79707,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Major,,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,25/Jun/24 9:00 PM,03/Jul/24 8:55 AM,09/Jul/24 3:47 PM,,05/Jul/24 12:00 AM,0,DVP&R,ElectricalTestValidation,Voltron,,,,aaron.zetley,,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@53ba5a46,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,0.0,,,,,,,,,,,,,2|i06ynl:,,,,,2.0,,,,,,,,,,CTET 62624,CTET 070324,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,2.0,,,,,,,,,,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,To Do,25/Jun/24 9:00 PM
Design BIC PCBA Bed Nest,CTET-3632,79699,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Major,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,25/Jun/24 7:05 PM,03/Jul/24 10:11 AM,09/Jul/24 3:47 PM,02/Jul/24 11:18 PM,,0,,,,,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@53069c52,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2969,24-Q2-KR5.3 - BIC PCBA Tester Built & Tested,,,,,,0.0,,,,,,,,,,,,,2|i06yld:,,,,,2.0,,,,,,,,,,CTET 62624,CTET 070324,,,,,,,,,,,,,,,,,,,,5.0,,,0.0,,,,,,,,,,2.0,,,,,,3_*:*_1_*:*_0_*|*_10000_*:*_1_*:*_620018311,,,,,78153,24-Q2-KR5.3 - BIC PCBA Tester Built & Tested,In Progress,02/Jul/24 11:18 PM
Design ALP PCBA Bed Nest,CTET-3631,79698,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,25/Jun/24 7:03 PM,08/Jul/24 10:22 PM,09/Jul/24 3:47 PM,02/Jul/24 11:18 PM,,0,,,,,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7430f69e,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2992,24-Q2-KR5.4: ALP PCBA Tester Built & Tested,,,,,,0.0,,,,,,,,,,,,,2|i06ymx:,,,,,,,,,,,,,,,CTET 62624,CTET 070324,,,,,,,,,,,,,,,,,,,,5.0,,,0.0,,,,,,,,,,2.0,,,,,,3_*:*_1_*:*_0_*|*_10000_*:*_1_*:*_620139610,,,,,78293,24-Q2-KR5.4: ALP PCBA Tester Built & Tested,Done,08/Jul/24 8:27 AM
Order Fixture Hardware,CTET-3628,79695,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Critical,,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,25/Jun/24 6:57 PM,09/Jul/24 3:09 PM,09/Jul/24 3:47 PM,,,0,,,,,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@30ec8b3e,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2968,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,,,,,,0.0,,,,,,,,,,,,,2|i06zgl:,,,,,,,,,,,,,,,CTET 62624,CTET 070324,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,2.0,,,,,,,,,,,78152,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,To Do,25/Jun/24 6:57 PM
Generate Fixture Plate Aluminum Extrusion Cutlist,CTET-3627,79694,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Critical,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,25/Jun/24 6:53 PM,09/Jul/24 3:09 PM,09/Jul/24 3:22 PM,08/Jul/24 8:27 AM,,0,,,,,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,CTET-3625,CTET-3626,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@53da60ab,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2968,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,,,,,,2.0,,,,,,,,,,,,,2|i06ymp:,,,,,,,,,,,,,,,CTET 62624,CTET 070324,,,,,,,,,,,,,,,,,,,,5.0,,,0.0,,,,,,,,,,2.0,,,,,,10547_*:*_1_*:*_600395099_*|*_3_*:*_1_*:*_0_*|*_10000_*:*_1_*:*_485253323,,,,,78152,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,In Progress,01/Jul/24 9:40 AM
Penguin NPI1A - LTE Rework - 2X PCBAs,CTET-3621,79683,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Critical,Done,Rick Sanner,712020:4255348e-78b9-4f22-ba9d-fbe0b881fbdf,Christopher McLaughlin,712020:7049542e-e015-4a62-bdcf-e965f9fa0d02,Christopher McLaughlin,712020:7049542e-e015-4a62-bdcf-e965f9fa0d02,25/Jun/24 11:47 AM,08/Jul/24 4:35 PM,26/Jun/24 3:57 PM,08/Jul/24 4:35 PM,,0,,,,,"*Context:*

This board will be used to investigate LTE connection issues on other boards. Potential LTE reliability issues may drive hardware design changes and need to be root caused ASAP.

*Rework instructions:*

Remove R508
Short R237



!image-20240625-184633.png|width=1502,height=363,alt=""image-20240625-184633.png""!



!image-20240625-184656.png|width=1505,height=910,alt=""image-20240625-184656.png""!",,Bertrand Roussel,Christopher McLaughlin,603d45a9d4c6210071822f23,712020:7049542e-e015-4a62-bdcf-e965f9fa0d02,,,,,,,,,,,CTET-3830,CTET-3831,,,25/Jun/24 12:28 PM;ug:11031aeb-2f9e-4572-ac58-78ea84f19a01;MicrosoftTeams-image (6) (12fe139f-127c-4848-a7b8-1df0a8172a7a).png;https://neurio.atlassian.net/rest/api/3/attachment/content/51158,25/Jun/24 11:47 AM;712020:7049542e-e015-4a62-bdcf-e965f9fa0d02;image-20240625-184633.png;https://neurio.atlassian.net/rest/api/3/attachment/content/51154,25/Jun/24 11:47 AM;712020:7049542e-e015-4a62-bdcf-e965f9fa0d02;image-20240625-184656.png;https://neurio.atlassian.net/rest/api/3/attachment/content/51155,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@51fe5a67,3.0,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,{},,,,,,,,,,,,2.0,,,,,,,,,,,,,2|i06ynx:,,,,,,,,,,,,,,,CTET 62624,CTET 070324,,,,,,,,,,,,,,,,,,,,5.0,,,0.0,,,,,,,,,,5.0,,,,,2024-06-25 19:28:17.748,10000_*:*_1_*:*_1140509541_*|*_10001_*:*_1_*:*_0,"25/Jun/24 12:28 PM;603d45a9d4c6210071822f23;Zoom in on the rework

!MicrosoftTeams-image (6) (12fe139f-127c-4848-a7b8-1df0a8172a7a).png|width=33.333333333333336%,alt=""MicrosoftTeams-image (6).png""!",,,,,,Done,08/Jul/24 4:35 PM
"Document manual test procedure for ""WIFI Reset""",CTET-3619,79681,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,25/Jun/24 10:55 AM,08/Jul/24 9:10 AM,09/Jul/24 3:47 PM,08/Jul/24 9:10 AM,,0,,,,,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@9c626db,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2966,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,,,,,,0.0,,,,,,,,,,,,,2|i06z48:zzzzw,,,,,,,,,,,,,,,CTET 070324,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,3.0,,,,,,10000_*:*_1_*:*_1116876307_*|*_10001_*:*_1_*:*_0,,,,,78150,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,Done,08/Jul/24 9:10 AM
"Document manual test procedure for ""emergency shutdown""",CTET-3618,79680,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,25/Jun/24 10:55 AM,08/Jul/24 9:10 AM,09/Jul/24 3:47 PM,08/Jul/24 9:10 AM,,0,,,,,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@533023da,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2966,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,,,,,,0.0,,,,,,,,,,,,,2|i06z48:zzzzwi,,,,,,,,,,,,,,,CTET 62624,CTET 070324,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,4.0,,,,,,10000_*:*_1_*:*_1116913641_*|*_10001_*:*_1_*:*_0,,,,,78150,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,Done,08/Jul/24 9:10 AM
"Document manual test procedure for ""24V output power""",CTET-3617,79679,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,25/Jun/24 10:55 AM,08/Jul/24 9:10 AM,09/Jul/24 3:47 PM,08/Jul/24 9:10 AM,,0,,,,,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1712aacd,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2966,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,,,,,,0.0,,,,,,,,,,,,,2|i06z48:zzzzwr,,,,,,,,,,,,,,,CTET 070324,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,3.0,,,,,,10000_*:*_1_*:*_1116941480_*|*_10001_*:*_1_*:*_0,,,,,78150,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,Done,08/Jul/24 9:10 AM
"Document manual test procedure for ""flash test""",CTET-3615,79672,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,25/Jun/24 10:44 AM,03/Jul/24 10:56 AM,09/Jul/24 3:47 PM,,,0,,,,,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@34a787d1,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2966,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,,,,,,0.0,,,,,,,,,,,,,2|i06z48:zzzzxi,,,,,,,,,,,,,,,CTET 070324,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,3.0,,,,,,,,,,,78150,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,To Do,25/Jun/24 10:44 AM
Manta PCBA tester validation - full sequence run with Ian,CTET-3584,79620,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,24/Jun/24 9:08 AM,03/Jul/24 10:56 AM,09/Jul/24 3:47 PM,,,0,,,,,,,Zeren Zhang,,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5bbafaca,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2966,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,,,,,,0.0,,,,,,,,,,,,,2|i06z48:zzzzx,,,,,,,,,,,,,,,CTET 070324,,,,,,,,,,,,,,,,,,,,,5.0,,,0.0,,,,,,,,,,1.0,,,,,,,,,,,78150,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,To Do,24/Jun/24 9:08 AM
Build Low Cost initial thermal tester,CTET-3575,79609,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Jens Clausen,712020:5189a75b-0b51-4fee-bf59-340c18b71135,Jens Clausen,712020:5189a75b-0b51-4fee-bf59-340c18b71135,Jens Clausen,712020:5189a75b-0b51-4fee-bf59-340c18b71135,21/Jun/24 2:21 PM,09/Jul/24 1:51 PM,09/Jul/24 3:47 PM,09/Jul/24 1:51 PM,,0,,,,,,,Jens Clausen,,712020:5189a75b-0b51-4fee-bf59-340c18b71135,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7a66b3ba,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-3497,"24-Q2-KR3.5: Design, build & commission thermal burn in tester (inverter)",,,,,,0.0,,,,,,,,,,,,,2|i06x80:zzzyx,,,,,,,,,,,,,,,CTET 62624,CTET 070324,,,,,,,,,,,,,,,,,,,,5.0,,,0.0,,,,,,,,,,2.0,,,,,,3_*:*_1_*:*_1553240935_*|*_10000_*:*_1_*:*_132435_*|*_10001_*:*_1_*:*_0,,,,,79395,"24-Q2-KR3.5: Design, build & commission thermal burn in tester (inverter)",Done,09/Jul/24 1:51 PM
Blue Marlin FW Release Testing: June 2024,CTET-3572,79586,Task,On Hold,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Blocker,Done,Seun Osiyemi,60957172a56f2f006f65f1e9,Seun Osiyemi,60957172a56f2f006f65f1e9,Seun Osiyemi,60957172a56f2f006f65f1e9,21/Jun/24 10:02 AM,09/Jul/24 2:21 PM,27/Jun/24 8:47 AM,26/Jun/24 6:19 AM,,0,,,,,"Conduct the following tests, which will all be automated, unless manual testing is required:

* V-trip closed loop response (Overvoltage)
* V-trip closed loop response (Undervoltage)
* F trip & accuracy (Over frequency)
* F trip & accuracy (Under frequency)
* Enter Service (Case 1 or Case 5)
* Open phase
* Power charge verification
* Power discharge verification
* Inverter metering accuracy
* Thermal management/temperature read test
* Operational Voltage Range Sweep
* Operational Frequency Range Sweep",,Seun Osiyemi,,60957172a56f2f006f65f1e9,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@219f53dc,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,3.0,,,,,{},,,,,CTET-3010,24-Q2-KR7.2: Validate BM Firmware Release in 48 Hours,,,,,,0.0,,,,,,,,,,,,,2|i06xxh:,,,,,3.0,,,,,,,,,,CTET 61924,CTET 62624,CTET 070324,,,,,,,,,,,,,,,,,,,8.0,,,0.0,,,,,,,,,,2.0,,,,,,3_*:*_1_*:*_418585456_*|*_10000_*:*_1_*:*_36021_*|*_10001_*:*_1_*:*_0,"24/Jun/24 9:24 AM;60957172a56f2f006f65f1e9;Ready scripts:

* V-trip closed loop response (Overvoltage)
* V-trip closed loop response (Undervoltage)
* F trip & accuracy (Over frequency)
* F trip & accuracy (Under frequency)
* Enter Service (Case 1 or Case 5)
* Open phase
* Power charge verification
* Power discharge verification
* Thermal management/temperature read test

In progress/To-do:

* Inverter metering accuracy
* Operational Voltage Range Sweep
* Operational Frequency Range Sweep

Refer to the feature-voltron-dev","26/Jun/24 6:22 AM;60957172a56f2f006f65f1e9;We are blocked by a [bug|https://generacet.atlassian.net/browse/R2IF-322] that won’t allow the inverter enable in auto mode without reporting an undervoltage alarm. As a result, a lot of effort has been focused on troubleshooting the FW builds on this release.

This also impacted validating newly written automated tests, so we reverted to the previously approved RC’s to be able to do this. Meanwhile, more automated tests are being written and validated, and the code library is constantly being improved.

This ticket is now on hold, and separate tickets with re-evaluated story points will be created to write automated test scripts for the following tests:

* Inverter metering accuracy
* Operational Voltage Range Sweep
* Operational Frequency Range Sweep","08/Jul/24 9:25 AM;60957172a56f2f006f65f1e9;Scripts now ready for:

* Operational Voltage Range Sweep
* Operational Frequency Range Sweep

island_system.go has also been created and added in the voltron directory for tests that will require the system to be in the islanding state. In this script, the system verifies the system is in islanding state by checking the GSL grid state, checking that the grid lines are low (0V), and checking that the inverter ac lines are high (120V).",,78311,24-Q2-KR7.2: Validate BM Firmware Release in 48 Hours,In Progress,26/Jun/24 7:19 AM
Support BM FW Release: June 24th Release,CTET-3571,79585,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Major,Done,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,21/Jun/24 9:41 AM,09/Jul/24 2:38 PM,09/Jul/24 3:47 PM,27/Jun/24 7:51 AM,,0,,,,,"

!image-20240621-165223.png|width=670,height=556,alt=""image-20240621-165223.png""!",,Tanner Whipps,,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,,,,,,,,,,,,,,,,21/Jun/24 9:52 AM;ug:2668c83c-e528-408a-9a1d-2b375e3940a8;image-20240621-165223.png;https://neurio.atlassian.net/rest/api/3/attachment/content/51122,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@28af9074,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,{},,,,,CTET-3010,24-Q2-KR7.2: Validate BM Firmware Release in 48 Hours,,,,,,0.0,,,,,,,,,,,,,2|i06xxl:,,,,,,,,,,,,,,,CTET 61924,CTET 62624,CTET 070324,,,,,,,,,,,,,,,,,,,8.0,,,0.0,,,,,,,,,,2.0,,,,,,10547_*:*_1_*:*_88720754_*|*_3_*:*_2_*:*_422476640_*|*_10000_*:*_1_*:*_636959,02/Jul/24 11:52 AM;712020:6db8ec7c-44cf-4e10-b192-736802f9538b;Have spend a lot of time debugging and trying to figure out issues with FW teams. Here is the issue summary report at the bottom of this document: [https://generacet.atlassian.net/wiki/spaces/CTET/pages/403570689/R2+FW+-+June+24|https://generacet.atlassian.net/wiki/spaces/CTET/pages/403570689/R2+FW+-+June+24|smart-link] . ,,,,78311,24-Q2-KR7.2: Validate BM Firmware Release in 48 Hours,Done,09/Jul/24 2:38 PM
Discuss testing options with Penguin team,CTET-3543,79451,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,19/Jun/24 9:16 AM,05/Jul/24 8:53 AM,09/Jul/24 3:47 PM,05/Jul/24 8:53 AM,,0,,,,,,,Jon Thomas,,712020:cdffb633-796d-417e-9c44-667e697189ff,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3fa9b0e9,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,{},,,,,CTET-3011,24-Q2-KR8.2: Penguin LTE Test Method Determined,,,,,,0.0,,,,,,,,,,,,,2|i06x80:zzv,,,,,,,,,,,,,,,CTET 61924,CTET 62624,CTET 070324,,,,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,2.0,,,,,,10000_*:*_1_*:*_1381020008_*|*_10001_*:*_1_*:*_0,"05/Jul/24 8:53 AM;712020:cdffb633-796d-417e-9c44-667e697189ff;closing ticket, likely moving to another team member",,,,78312,24-Q2-KR8.2: Penguin LTE Test Method Determined,Done,05/Jul/24 8:53 AM
Order more SDS Safety Covers,CTET-3529,79437,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,19/Jun/24 8:43 AM,08/Jul/24 8:26 AM,09/Jul/24 3:47 PM,08/Jul/24 8:26 AM,,0,,,,,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@50891bff,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,,,,,,,,0.0,,,,,,,,,,,,,2|i06zif:,,,,,,,,,,,,,,,CTET 070324,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_1640614357_*|*_10000_*:*_1_*:*_6063_*|*_10001_*:*_1_*:*_0,,,,,,,Done,08/Jul/24 8:26 AM
