Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Defect),Attachment,Attachment,Custom field (1. Reason for Change),Custom field (2. Parties Impacted),Custom field (3. Work Instructions Affected),Custom field (4. Training Plan Required),Custom field (Acceptance Criteria),Custom field (Acceptance Test(s)),Custom field (Additional Guidance),Custom field (Affected services),Custom field (Approvals),Custom field (Attachment count),Custom field (Begin Date),Custom field (Bug Description (with template)),Custom field (Bugs of Epic count),Custom field (Bugs of Epic in Done status category count),Custom field (Bugs of Epic in In Progress status category count),Custom field (Bugs of Epic in To Do status category count),Custom field (CVSS),Custom field (CWE),Custom field (Category),Custom field (Category - Root Cause),Custom field (Change Type),Custom field (Checklist Completed),Custom field (Checklist Content YAML),Custom field (Checklist Progress),Custom field (Checklist Progress %),Custom field (Checklist Text),Custom field (Checklist Text (view-only)),Custom field (Children of Epic count),Custom field (Children of Epic in Done status category count),Custom field (Children of Epic in In Progress status category count),Custom field (Children of Epic in To Do status category count),Custom field (Cloud Platform),Custom field (Cloud Project),Custom field (Comment count),Custom field (Date Implemented),Custom field (Definition of Done),Custom field (Definition of Done),Custom field (Description (with template)),Custom field (Development),Custom field (DoD),Custom field (Domain),Custom field (End Date),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (External issue ID),Custom field (Goals),Custom field (Inherent impact),Custom field (Inherent probability),Custom field (Inherent risk),Custom field (Issue color),Custom field (Issue link count),Custom field (Link),Custom field (Link to Aha),Custom field (Locked forms),Custom field (Neurio Project),Custom field (Neurio Team),Custom field (Observed Result),Custom field (Open forms),Custom field (PWRfleet Bug Template),Custom field (Parent Link),Custom field (Persona),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Remaining Story Points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Repository URL),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Residual impact),Custom field (Residual probability),Custom field (Residual risk),Custom field (Responders),Custom field (Revision),Custom field (Risk updated),Custom field (Risk updated by),Satisfaction rating,Custom field (Satisfaction date),Custom field (Security Vulnerability Type),Custom field (Sentiment),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Steps To Reproduce),Custom field (Stories of Epic count),Custom field (Stories of Epic in Done status category count),Custom field (Stories of Epic in In Progress status category count),Custom field (Stories of Epic in To Do status category count),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Subtask count),Custom field (Subtype),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Triaged),Custom field (Tshirt Size),Custom field (Updated by users count),Custom field (User Story),Custom field (Vulnerability),Custom field (WizID),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
Complete assembly of manta manual PCBA test fixture,CTET-5502,82776,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,18/Sep/24 9:21 AM,24/Sep/24 9:35 AM,25/Sep/24 1:18 PM,24/Sep/24 9:35 AM,,0,,,Dillon Dawson,,,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@48e89a2,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07f8l:,,,,,,,,,,,,,,,,,,,,,CTET 91824,,,,,,,,,,,,,,,,,3.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_313961899_*|*_10000_*:*_1_*:*_205237875_*|*_10001_*:*_1_*:*_0,,,,,Done,24/Sep/24 9:35 AM
Assemble pin plate for SDS impedance test fixture,CTET-5501,82775,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,18/Sep/24 9:20 AM,24/Sep/24 9:34 AM,25/Sep/24 1:18 PM,24/Sep/24 9:34 AM,,0,,,Dillon Dawson,,,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7dc34235,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07f8d:,,,,,,,,,,,,,,,,,,,,,CTET 91824,,,,,,,,,,,,,,,,,4.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_313957713_*|*_10000_*:*_1_*:*_205324223_*|*_10001_*:*_1_*:*_0,,,,,Done,24/Sep/24 9:34 AM
Build BMU EOL safety enclosure,CTET-5500,82772,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,18/Sep/24 9:11 AM,19/Sep/24 4:54 PM,25/Sep/24 1:18 PM,19/Sep/24 4:54 PM,,0,,,Dillon Dawson,,,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4d96be5c,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07f7p:,,,,,,,,,,,,,,,,,,,,,CTET 91824,,,,,,,,,,,,,,,,,4.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_114140379_*|*_10001_*:*_1_*:*_0,,,,,Done,19/Sep/24 4:54 PM
Build Inverter EOL safety encloser,CTET-5499,82771,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,18/Sep/24 9:11 AM,19/Sep/24 4:54 PM,25/Sep/24 1:18 PM,19/Sep/24 4:54 PM,,0,,,Dillon Dawson,,,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4fcb5b3e,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07f7h:,,,,,,,,,,,,,,,,,,,,,CTET 91824,,,,,,,,,,,,,,,,,4.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_114174172_*|*_10001_*:*_1_*:*_0,,,,,Done,19/Sep/24 4:54 PM
Build SDS EOL Safety enclosure,CTET-5497,82769,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,18/Sep/24 9:06 AM,19/Sep/24 4:54 PM,25/Sep/24 1:18 PM,19/Sep/24 4:54 PM,,0,,,Dillon Dawson,,,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5edfd357,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07f71:,,,,,,,,,,,,,,,,,,,,,CTET 91824,,,,,,,,,,,,,,,,,4.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_113424656_*|*_10000_*:*_1_*:*_1035067_*|*_10001_*:*_1_*:*_0,,,,,Done,19/Sep/24 4:54 PM
Voltron - Build Cart,CTET-5495,82766,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,18/Sep/24 8:48 AM,20/Sep/24 9:29 AM,25/Sep/24 1:18 PM,20/Sep/24 9:29 AM,,0,,,John Messina,,,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7eb48eaa,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07fh1:,,,,,,,,,,,,,,,,,,,,,CTET 91824,,,,,,,,,,,,,,,,,4.0,,,0.0,,,,,,,,,,2.0,,,,,,10000_*:*_1_*:*_175236108_*|*_10001_*:*_1_*:*_0,,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,Done,20/Sep/24 9:29 AM
Issue Purchase Order to Selected Vendor,CTET-5443,82714,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,17/Sep/24 6:18 PM,20/Sep/24 3:51 PM,25/Sep/24 1:18 PM,20/Sep/24 3:51 PM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@50a38369,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-5435,BIP FCT for NPI 2 - Develop Mechanical Fixture,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07eux:,,,,,,,,,,,,,,,,,,,,,CTET 91824,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,3.0,,,,,,3_*:*_1_*:*_7101433_*|*_10000_*:*_1_*:*_243267782_*|*_10001_*:*_1_*:*_0,,,82706,BIP FCT for NPI 2 - Develop Mechanical Fixture,Done,20/Sep/24 3:51 PM
Review Vendor DFM and quotes,CTET-5439,82710,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,17/Sep/24 6:18 PM,20/Sep/24 1:53 PM,25/Sep/24 1:18 PM,20/Sep/24 1:53 PM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6c7fee69,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-5435,BIP FCT for NPI 2 - Develop Mechanical Fixture,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07evh:,,,,,,,,,,,,,,,,,,,,,CTET 91824,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,3.0,,,,,,3_*:*_1_*:*_75998960_*|*_10000_*:*_1_*:*_167307343_*|*_10001_*:*_1_*:*_0,,,82706,BIP FCT for NPI 2 - Develop Mechanical Fixture,Done,20/Sep/24 1:53 PM
Review ICT quotes and vendor follow up,CTET-5434,82704,Story,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Soham Dange,712020:2b67478a-d210-4a0a-bf27-2e926436841b,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,17/Sep/24 4:38 PM,23/Sep/24 2:43 PM,25/Sep/24 1:18 PM,23/Sep/24 2:43 PM,,0,,,Alex Wong,,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@95fab0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-4459,Review quotes [ICT],,,,,,,,,,0.0,,,,,,,,,,,,,2|i07fyd:,,,,,,,,,,,,,,,,,,,,,CTET 91824,,,,,,,,,,,,,,,,,3.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_362756613_*|*_10000_*:*_1_*:*_148735194_*|*_10001_*:*_1_*:*_0,,,81106,Review quotes [ICT],Done,23/Sep/24 2:43 PM
Update ICT RFQs,CTET-5433,82703,Story,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Soham Dange,712020:2b67478a-d210-4a0a-bf27-2e926436841b,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,17/Sep/24 4:35 PM,25/Sep/24 9:52 AM,25/Sep/24 1:18 PM,,,0,,,Alex Wong,,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@747376f,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-4347,Test spec defining [ICT],,,,,,,,,,0.0,,,,,,,,,,,,,2|i07etx:,,,,,,,,,,,,,,,,,,,,,CTET 91824,CTET 92524,,,,,,,,,,,,,,,,3.0,,,0.0,,,,,,,,,,3.0,,,,,,,,,80898,Test spec defining [ICT],To Do,17/Sep/24 4:35 PM
Design V2 for pulse tester - Current Probe Assm,CTET-5432,82702,Story,On Hold,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Soham Dange,712020:2b67478a-d210-4a0a-bf27-2e926436841b,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,17/Sep/24 4:05 PM,25/Sep/24 9:52 AM,25/Sep/24 1:18 PM,,,0,,,Alex Wong,,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6898272c,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-5203,DLG Pulse - Tester ME Design,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07eph:,,,,,,,,,,,,,,,,,,,,,CTET 91824,CTET 92524,,,,,,,,,,,,,,,,4.0,,,0.0,,,,,,,,,,3.0,,,,,,,,,82439,DLG Pulse - Tester ME Design,In Progress,18/Sep/24 4:43 PM
Celestica Manta PCBA tester HV connection fix,CTET-5429,82697,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,17/Sep/24 11:26 AM,23/Sep/24 6:50 AM,25/Sep/24 1:18 PM,,,0,,,Zeren Zhang,,,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5c78f98e,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-5208,Manta PCBA NPI 2 - Create Electrical Test Spec,,,,,,,,,,0.0,,,,,,,,,,,,,2|hzzga9:,,,,,,,,,,,,,,,,,,,,,CTET 92524,,,,,,,,,,,,,,,,,4.0,,,0.0,,,,,,,,,,2.0,,,,,,,,,82444,Manta PCBA NPI 2 - Create Electrical Test Spec,To Do,20/Sep/24 3:27 PM
BMU BIC13+BIP11 mix testing,CTET-5425,82689,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,17/Sep/24 9:27 AM,24/Sep/24 11:11 PM,25/Sep/24 1:18 PM,24/Sep/24 11:11 PM,,0,,,Zeren Zhang,,,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7309cde2,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-3004,"24-Q2-KR4.3: BMU EOL coverage updated based on test spec, engineering feedback, and failure Pareto",,,,,,,,,,0.0,,,,,,,,,,,,,2|i07dx5:6,,,,,,,,,,,,,,,,,,,,,CTET 91124,CTET 91824,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,2.0,,,,,,10000_*:*_1_*:*_654227593_*|*_10001_*:*_1_*:*_0,,,78305,"24-Q2-KR4.3: BMU EOL coverage updated based on test spec, engineering feedback, and failure Pareto",Done,24/Sep/24 11:11 PM
Issue Purchase Order to Selected Vendor,CTET-5423,82685,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,17/Sep/24 7:51 AM,20/Sep/24 3:52 PM,25/Sep/24 1:18 PM,20/Sep/24 3:52 PM,,0,,,Alex Wong,,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4a0d7ae7,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-5415,BIC FCT for NPI 2 - Develop Mechanical Fixture,,,,,,,,,,0.0,,,,,,,,,,,,,2|i06ri9:l,,,,,,,,,,,,,,,,,,,,,CTET 91824,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,2.0,,,,,,3_*:*_1_*:*_7097301_*|*_10000_*:*_1_*:*_280969728_*|*_10001_*:*_1_*:*_0,,,82677,BIC FCT for NPI 2 - Develop Mechanical Fixture,Done,20/Sep/24 3:52 PM
Review Vendor DFM and quotes,CTET-5419,82681,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,17/Sep/24 7:49 AM,20/Sep/24 1:53 PM,25/Sep/24 1:18 PM,20/Sep/24 1:53 PM,,0,,,Alex Wong,,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1effc59f,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-5415,BIC FCT for NPI 2 - Develop Mechanical Fixture,,,,,,,,,,0.0,,,,,,,,,,,,,2|i06ri9:k,,,,,,,,,,,,,,,,,,,,,CTET 91824,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,2.0,,,,,,3_*:*_1_*:*_76037065_*|*_10000_*:*_1_*:*_205024401_*|*_10001_*:*_1_*:*_0,,,82677,BIC FCT for NPI 2 - Develop Mechanical Fixture,Done,20/Sep/24 1:53 PM
Plan fixture safety updates based on CMX requirements,CTET-5414,82676,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,17/Sep/24 7:38 AM,23/Sep/24 6:01 PM,25/Sep/24 1:18 PM,23/Sep/24 6:01 PM,,0,,,Alex Wong,,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2e286de8,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-5286,ALC/ALP - Optimization and Improvement,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07ejh:,,,,,,,,,,,,,,,,,,,,,CTET 91824,,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_350103588_*|*_10000_*:*_1_*:*_205671477_*|*_10001_*:*_1_*:*_0,,,82524,ALC/ALP - Optimization and Improvement,Done,23/Sep/24 6:01 PM
Update Design with Safety Requirements from CMX,CTET-5412,82674,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Critical,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,16/Sep/24 7:24 PM,23/Sep/24 6:05 PM,25/Sep/24 1:18 PM,23/Sep/24 6:05 PM,,0,,,Alex Wong,,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@71e9a8be,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-5178,Update ALC/ALP CAD Design,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07eoh:,,,,,,,,,,,,,,,,,,,,,CTET 91824,,,,,,,,,,,,,,,,,4.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_350380291_*|*_10000_*:*_1_*:*_249629279_*|*_10001_*:*_1_*:*_0,,,82408,Update ALC/ALP CAD Design,Done,23/Sep/24 6:05 PM
Get manta firmware support for fixed PV and GEN emic scalar,CTET-5392,82649,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,13/Sep/24 5:20 PM,20/Sep/24 8:58 AM,25/Sep/24 1:18 PM,20/Sep/24 8:58 AM,,0,,,Erich Beyer,,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@418b3a3a,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2998,24-Q2-KR2.2: SDS Production Code Merged to Main,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07b3q:,,,,,,,,,,,,,,,,,,,,,CTET 91124,CTET 91824,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,2.0,,,,,,10000_*:*_1_*:*_574663612_*|*_10001_*:*_1_*:*_0,,,78299,24-Q2-KR2.2: SDS Production Code Merged to Main,Done,20/Sep/24 8:58 AM
Verify heater power consumption and adjust value,CTET-5389,82646,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,13/Sep/24 5:15 PM,25/Sep/24 9:52 AM,25/Sep/24 1:18 PM,,,0,,,Erich Beyer,,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@34109253,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-5284,BIC/BIP for NPI 1B - Deployment and Handoff,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07ejc:,,,,,,,,,,,,,,,,,,,,,CTET 91124,CTET 91824,CTET 92524,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,2.0,,,,,,,,,82522,BIC/BIP for NPI 1B - Deployment and Handoff,In Progress,13/Sep/24 5:15 PM
