Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Defect),Outward issue link (Defect),Outward issue link (Defect),Attachment,Attachment,Attachment,Attachment,Custom field (1. Reason for Change),Custom field (2. Parties Impacted),Custom field (3. Work Instructions Affected),Custom field (4. Training Plan Required),Custom field (Acceptance Criteria),Custom field (Acceptance Test(s)),Custom field (Additional Guidance),Custom field (Affected services),Custom field (Approvals),Custom field (Attachment count),Custom field (Begin Date),Custom field (Bug Description (with template)),Custom field (Bugs of Epic count),Custom field (Bugs of Epic in Done status category count),Custom field (Bugs of Epic in In Progress status category count),Custom field (Bugs of Epic in To Do status category count),Custom field (CVSS),Custom field (CWE),Custom field (Category),Custom field (Category - Root Cause),Custom field (Change Type),Custom field (Checklist Completed),Custom field (Checklist Content YAML),Custom field (Checklist Progress),Custom field (Checklist Progress %),Custom field (Checklist Text),Custom field (Checklist Text (view-only)),Custom field (Children of Epic count),Custom field (Children of Epic in Done status category count),Custom field (Children of Epic in In Progress status category count),Custom field (Children of Epic in To Do status category count),Custom field (Cloud Platform),Custom field (Cloud Project),Custom field (Comment count),Custom field (Date Implemented),Custom field (Definition of Done),Custom field (Definition of Done),Custom field (Description (with template)),Custom field (Development),Custom field (DoD),Custom field (Domain),Custom field (End Date),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (External issue ID),Custom field (Goals),Custom field (Inherent impact),Custom field (Inherent probability),Custom field (Inherent risk),Custom field (Issue color),Custom field (Issue link count),Custom field (Link),Custom field (Link to Aha),Custom field (Locked forms),Custom field (Neurio Project),Custom field (Neurio Team),Custom field (Observed Result),Custom field (Open forms),Custom field (PWRfleet Bug Template),Custom field (Parent Link),Custom field (Persona),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Remaining Story Points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Repository URL),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Residual impact),Custom field (Residual probability),Custom field (Residual risk),Custom field (Responders),Custom field (Revision),Custom field (Risk updated),Custom field (Risk updated by),Satisfaction rating,Custom field (Satisfaction date),Custom field (Security Vulnerability Type),Custom field (Sentiment),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Steps To Reproduce),Custom field (Stories of Epic count),Custom field (Stories of Epic in Done status category count),Custom field (Stories of Epic in In Progress status category count),Custom field (Stories of Epic in To Do status category count),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Subtask count),Custom field (Subtype),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Triaged),Custom field (Tshirt Size),Custom field (Updated by users count),Custom field (User Story),Custom field (Vulnerability),Custom field (WizID),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
Fix bug in scripts that builds the UDS/datastore files for the devices,CTET-5112,82303,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Critical,Done,Seun Osiyemi,60957172a56f2f006f65f1e9,Seun Osiyemi,60957172a56f2f006f65f1e9,Seun Osiyemi,60957172a56f2f006f65f1e9,06/Sep/24 10:19 AM,06/Sep/24 1:01 PM,11/Sep/24 9:36 AM,06/Sep/24 10:47 AM,,0,,"To prevent duplicate signals in datastore files, the python scripts were previously written for each device to filter the signals with 2 instances *(one for read_only = True, and the other for read_only = False)* by only including signals where *read_only = False*. This meant signals with only one instance where *read_only = True* were missed and not listed in the generated datastore files. This might explain the issues we’ve encountered when attempting to write via UDS to the BMU.

I have now improved this code to create the list to contain entries where if ""read_only is not set to True"" for signals that have other instances where ""read_only is set to True"" to filter out the duplicates, and also save the entries with only one instance where ""read_only is set to True”. ",,Seun Osiyemi,,,60957172a56f2f006f65f1e9,,,,,,,,,,,,,,06/Sep/24 11:03 AM;ug:1c3446f8-5c04-41e3-a2c2-45a9d5c98ced;Generate UDS files (ea6518a0-22c3-4450-a591-3818f7261997).zip;https://neurio.atlassian.net/rest/api/3/attachment/content/51712,06/Sep/24 10:45 AM;ug:1c3446f8-5c04-41e3-a2c2-45a9d5c98ced;image-20240906-173433.png;https://neurio.atlassian.net/rest/api/3/attachment/content/51710,06/Sep/24 1:00 PM;ug:1c3446f8-5c04-41e3-a2c2-45a9d5c98ced;image-20240906-183411.png;https://neurio.atlassian.net/rest/api/3/attachment/content/51713,06/Sep/24 1:00 PM;ug:1c3446f8-5c04-41e3-a2c2-45a9d5c98ced;image-20240906-200040.png;https://neurio.atlassian.net/rest/api/3/attachment/content/51714,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@18c1e1b8,4.0,,,,,,,,,,,,,,,0.0,,,,,,,,,3.0,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07cox:,,,,,,,,,,,,,,,,,,,,,CTET 90424,,,,,,,,,,,,,,,3.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_1693553_*|*_10001_*:*_1_*:*_0,"06/Sep/24 10:45 AM;60957172a56f2f006f65f1e9;I verified this bug was addressed with an online text file comparator and observed a lot of signals with only one instance where *read_only = True,* which were previously missing are now included in the newly generated data store files. 

Below is a screenshot of the file comparator showing before and after the script was fixed.

!image-20240906-173433.png|width=1150,height=606,alt=""image-20240906-173433.png""!",06/Sep/24 10:47 AM;60957172a56f2f006f65f1e9;Zip file containing the python scripts to generate the datastore files for each Blue Marlin device: [^Generate UDS files (ea6518a0-22c3-4450-a591-3818f7261997).zip] ,"06/Sep/24 1:00 PM;60957172a56f2f006f65f1e9;There was an IDENT error for this particular manta signal that was previously missing. I suspect it's because the constant name starts with a digit rather than alphabet. This is how the signal name appears in the .yaml file. I have commented the line out for now. Yung also confirmed that the constant name can be modified.

!image-20240906-183411.png|width=33.33333333333333%,alt=""image-20240906-183411.png""!

!image-20240906-200040.png|width=33.33333333333333%,alt=""image-20240906-200040.png""!",,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,Done,06/Sep/24 10:47 AM
"Define""Dummy"" NPI 2 Board for Youngen",CTET-5111,82300,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Critical,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,06/Sep/24 10:03 AM,10/Sep/24 9:53 PM,11/Sep/24 9:36 AM,10/Sep/24 9:46 PM,13/Sep/24 12:00 AM,0,,"Youngen needs 1 week for Validation. Build board with critical test points and connectors only. Need to send ASAP. 

Resolution:

Send Youngen Design Files and ask them to have a vendor build. Add the cost to our quote.",,Alex Wong,,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,CTET-5174,CTET-5175,CTET-5176,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3005250f,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,{},,,,,CTET-4711,Mechanical - ALC FCT (NPI 2),,,,,,,,,,3.0,,,,,,,,,,,,,2|i07c2h:9,,,,,,,,,,,,,,,,,,,,,CTET 90424,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_43405831_*|*_10000_*:*_1_*:*_344356670_*|*_10001_*:*_1_*:*_0,"06/Sep/24 10:17 AM;712020:827f28c4-984f-4ab5-942e-d261e249c6a3;Per our discussion with Youngen todasy. [~accountid:712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e] Would it be faster to build the boards here and ship, or send design to quick turn vendor in China?",,,,81561,Mechanical - ALC FCT (NPI 2),Done,10/Sep/24 9:46 PM
Root cause provision script hanging on dfu-util call,CTET-5110,82298,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,06/Sep/24 9:23 AM,11/Sep/24 4:21 AM,11/Sep/24 9:36 AM,,,0,,"Provision log from a hang here: I have seen the provision script recover after about 40 minutes, but also hang for more than 120 minutes. This causes a problem for all future tests, because it leaves a provision.py script running that will race with future instances of provision.py. I tried to kill the hung instance with CommandContext, but the dfu util is not exiting in response to sigquit.",,Erich Beyer,,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,06/Sep/24 9:24 AM;712020:b063ae4d-b604-4c62-856d-f0138b203869;APCBPGN2102-CE243500C0F_provision_log_20240905_182918;https://neurio.atlassian.net/rest/api/3/attachment/content/51708,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@68be0c89,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2994,24-Q2-KR1.1: Update Flash Station Firmware,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07cmd:,,,,,,,,,,,,,,,,,,,,,CTET 90424,CTET 91124,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,2.0,,,,,,,,,,,78295,24-Q2-KR1.1: Update Flash Station Firmware,In Progress,06/Sep/24 9:23 AM
Support Tristan While He's in WK,CTET-5109,82291,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,06/Sep/24 6:40 AM,10/Sep/24 11:27 PM,11/Sep/24 9:36 AM,10/Sep/24 10:18 PM,,0,support,,,Tanner Whipps,,,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@26bb5574,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2|i0780i:,,,,,,,,,,,,,,,,,,,,,CTET 90424,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,3.0,,,,,,3_*:*_1_*:*_395003674_*|*_10000_*:*_1_*:*_6895252_*|*_10001_*:*_1_*:*_0,,,,,,,Done,10/Sep/24 10:18 PM
Continue work on SDS Calibration and impedance designs,CTET-5108,82289,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,05/Sep/24 6:27 PM,05/Sep/24 6:29 PM,11/Sep/24 9:36 AM,05/Sep/24 6:29 PM,,0,,,,Dillon Dawson,,,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7f597a07,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-3063,24-Q2-KR2.4: SDS EOL Interface Fixture updated and improved,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07cmh:,,,,,,,,,,,,,,,,,,,,,CTET 90424,,,,,,,,,,,,,,,16.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_92902_*|*_10001_*:*_1_*:*_0,,,,,78512,24-Q2-KR2.4: SDS EOL Interface Fixture updated and improved,Done,05/Sep/24 6:29 PM
BMU cycle time calculation + log sorting,CTET-5107,82287,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,05/Sep/24 5:05 PM,06/Sep/24 9:11 AM,11/Sep/24 9:36 AM,06/Sep/24 9:10 AM,,0,,,,Zeren Zhang,,,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@38e84c03,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-3004,"24-Q2-KR4.3: BMU EOL coverage updated based on test spec, engineering feedback, and failure Pareto",,,,,,,,,,0.0,,,,,,,,,,,,,2|i07bs7:,,,,,,,,,,,,,,,,,,,,,CTET 90424,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_57895016_*|*_10001_*:*_1_*:*_0,,,,,78305,"24-Q2-KR4.3: BMU EOL coverage updated based on test spec, engineering feedback, and failure Pareto",Done,06/Sep/24 9:10 AM
Inverter 5amps Noise when Disabled debug ,CTET-5105,82280,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,05/Sep/24 4:39 PM,10/Sep/24 1:27 PM,11/Sep/24 9:36 AM,10/Sep/24 1:27 PM,06/Sep/24 12:00 AM,0,,Identified 5 Amps Peak Noise when Inverter is disabled issue is likely due to Issue with Chroma Grid 45KW Power supply ,,aaron.zetley,,,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@cbaa024,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07clt:,,,,,,,,,,,,,,,,,,,,,CTET 90424,,,,,,,,,,,,,,,3.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_420452724_*|*_10001_*:*_1_*:*_0,,,,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,Done,10/Sep/24 1:27 PM
Ecobee Thermostat Testing with Stable Firmware ,CTET-5104,82279,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,05/Sep/24 4:39 PM,10/Sep/24 12:56 PM,11/Sep/24 9:36 AM,10/Sep/24 12:56 PM,,0,,,,aaron.zetley,,,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3d0f5f30,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07cll:,,,,,,,,,,,,,,,,,,,,,CTET 90424,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_418635781_*|*_10001_*:*_1_*:*_0,,,,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,Done,10/Sep/24 12:56 PM
Zelos App Debug and Integration ,CTET-5103,82278,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,05/Sep/24 4:38 PM,10/Sep/24 12:53 PM,11/Sep/24 9:36 AM,10/Sep/24 12:53 PM,,0,,,,aaron.zetley,,,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6763905,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07cld:,,,,,,,,,,,,,,,,,,,,,CTET 90424,,,,,,,,,,,,,,,3.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_418500872_*|*_10001_*:*_1_*:*_0,,,,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,Done,10/Sep/24 12:53 PM
Write procedure for serializing BIC,CTET-5100,82275,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,05/Sep/24 4:25 PM,09/Sep/24 8:45 AM,11/Sep/24 9:36 AM,09/Sep/24 8:45 AM,,0,,"wrote some code to write serial data to a log in /tmp, so we can see what the first boot messages look like after provision.",,Erich Beyer,,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3ff68462,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2969,24-Q2-KR5.3 - BIC PCBA Tester Built & Tested,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07ck5:,,,,,,,,,,,,,,,,,,,,,CTET 90424,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_256987802_*|*_10000_*:*_1_*:*_60995232_*|*_10001_*:*_1_*:*_0,,,,,78153,24-Q2-KR5.3 - BIC PCBA Tester Built & Tested,Done,09/Sep/24 8:45 AM
Manta 1.12 RC3 Testing and Debug,CTET-5098,82273,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,05/Sep/24 4:05 PM,10/Sep/24 1:18 PM,11/Sep/24 9:36 AM,10/Sep/24 1:18 PM,,0,,,,aaron.zetley,,,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7151c36d,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07ckh:,,,,,,,,,,,,,,,,,,,,,CTET 90424,,,,,,,,,,,,,,,3.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_421954015_*|*_10001_*:*_1_*:*_0,,,,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,Done,10/Sep/24 1:18 PM
Manta RC9 Testing and Trial,CTET-5097,82272,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,05/Sep/24 4:05 PM,10/Sep/24 12:49 PM,11/Sep/24 9:36 AM,10/Sep/24 12:49 PM,06/Sep/24 12:00 AM,0,,,,aaron.zetley,,,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@737e2faa,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07ck9:,,,,,,,,,,,,,,,,,,,,,CTET 90424,,,,,,,,,,,,,,,4.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_420236297_*|*_10001_*:*_1_*:*_0,,,,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,Done,10/Sep/24 12:49 PM
Penguin Installer App and Setup Debug and Support ,CTET-5096,82270,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,05/Sep/24 3:28 PM,05/Sep/24 4:04 PM,11/Sep/24 9:36 AM,05/Sep/24 4:04 PM,05/Sep/24 12:00 AM,0,,,,aaron.zetley,,,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@ccbd003,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07ck1:,,,,,,,,,,,,,,,,,,,,,CTET 90424,,,,,,,,,,,,,,,3.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_2093284_*|*_10000_*:*_1_*:*_65375_*|*_10001_*:*_1_*:*_0,,,,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,Done,05/Sep/24 4:04 PM
BMU firmware issue support,CTET-5095,82269,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,05/Sep/24 2:57 PM,10/Sep/24 9:15 AM,11/Sep/24 9:36 AM,06/Sep/24 9:10 AM,,0,,,,Zeren Zhang,,,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@321e2f86,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-3004,"24-Q2-KR4.3: BMU EOL coverage updated based on test spec, engineering feedback, and failure Pareto",,,,,,,,,,0.0,,,,,,,,,,,,,2|i07bs5:,,,,,,,,,,,,,,,,,,,,,CTET 90424,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_65570091_*|*_10001_*:*_1_*:*_0,,,,,78305,"24-Q2-KR4.3: BMU EOL coverage updated based on test spec, engineering feedback, and failure Pareto",Done,06/Sep/24 9:10 AM
Investigate damage on inverter from compliance,CTET-5094,82266,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Ardalan Abolfazli,712020:b7d2759e-9227-4dae-baf9-74d9295238d5,Ardalan Abolfazli,712020:b7d2759e-9227-4dae-baf9-74d9295238d5,Ardalan Abolfazli,712020:b7d2759e-9227-4dae-baf9-74d9295238d5,05/Sep/24 2:41 PM,06/Sep/24 2:30 PM,11/Sep/24 9:36 AM,06/Sep/24 2:30 PM,,0,,,,Ardalan Abolfazli,,,712020:b7d2759e-9227-4dae-baf9-74d9295238d5,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@b140431,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-3003,"24-Q2-KR3.3: Inverter EOL coverage updated based on test spec, engineering feedback, and failure Pareto",,,,,,,,,,0.0,,,,,,,,,,,,,2|i077uv:,,,,,,,,,,,,,,,,,,,,,CTET 90424,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_85726697_*|*_10000_*:*_1_*:*_5993_*|*_10001_*:*_1_*:*_0,,,,,78304,"24-Q2-KR3.3: Inverter EOL coverage updated based on test spec, engineering feedback, and failure Pareto",Done,06/Sep/24 2:30 PM
Label all wires in TC-16 and TC-24,CTET-5093,82264,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Tristen Cooley,712020:0b98aabb-1afa-4ac6-926d-3d12655352b4,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,05/Sep/24 2:13 PM,11/Sep/24 9:11 AM,11/Sep/24 9:36 AM,,,0,,,,Tanner Whipps,,,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1ff95fd9,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2|i075xt:,,,,,,,,,,,,,,,,,,,,,CTET 90424,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,3.0,,,,,,,,,,,,,To Do,05/Sep/24 2:13 PM
